id,scientific_field,science_field_label,degree,birth_country,study_country,study_country2,study_country3,work_country,work_country2,work_country3,current_country,student,doctoral_student,postdoc,professor,scientific_researcher,industrial_researcher,no_research,other_work,age,cultural_religion_problem,cultural_clothing_problem,cultural_namechanging_problem,cultural_infrastructure_problem,cultural_others_problem,personal_hormones_problem,personal_lifeplan_problem,personal_responsibilities_problem,personal_pregnancy_problem,personal_others_problem,work_equality_problem,work_unsupported_problem,work_collaborations_problem,work_infrastructure_problem,work_others_problem,technical_ideasharing_problem,technical_appreciation_problem,technical_publications_problem,technical_researcher_problem,technical_others_problem,cultural_any_problem,personal_any_problem,work_any_problem,technical_any_problem,birth_country_germany,birth_country_differs_from_work_or_study,age_regroup,cultural_religion_solved,cultural_clothing_solved,cultural_namechanging_solved,cultural_infrastructure_solved,cultural_others_solved,personal_hormones_solved,personal_lifeplan_solved,personal_responsibilities_solved,personal_pregnancy_solved,personal_others_solved,work_equality_solved,work_unsupported_solved,work_collaborations_solved,work_infrastructure_solved,work_others_solved,technical_ideasharing_solved,technical_appreciation_solved,technical_publications_solved,technical_researcher_solved,technical_others_solved,cultural_religion_description,cultural_religion_description_label,cultural_religion_solution_description,cultural_religion_solution_description_label,cultural_clothing_description,cultural_clothing_description_label,cultural_clothing_solution_description,cultural_clothing_solution_label,cultural_namechanging_description,cultural_namechanging_description_label,cultural_namechanging_solution_description,cultural_namechanging_solution_description_label,cultural_infrastructure_description,cultural_infrastructure_description_label,cultural_infrastructure_solution_description,cultural_infrastructure_solution_description_label,cultural_others_description,cultural_others_description_label,cultural_others_solution_description,cultural_others_solution_description_label,work_equality,label,work_equality_solution,label_1,work_unsupported,label_2,work_unsupported_solution,label_3,work_collaborations,label_4,work_collaborations_solution,label_5,work_infrastructure,label_6,work_infrastructure_solution,label_7,work_others,label_8,work_others_solution,label_9,technical_ideasharing,label_technical,technical_ideasharing_solution,label_1_technical,technical_appreciation,label_2_technical,technical_appreciation_solution,label_3_technical,technical_publications,label_4_technical,technical_publications_solution,label_5_technical,technical_researcher,label_6_technical,technical_researcher_solution,label_7_technical,technical_others,label_8_technical,technical_others_solution,label_9_technical
9,Informatics (Digital Social Innovation),Computer Science,Master,Germany,Germany,,,Germany,,,Germany,No,Yes,No,No,Yes,No,No,,26-30,No,No,No,Yes,Yes,No,Yes,Yes,No,No,Yes,Yes,Yes,Yes,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,20-30,,,,Yes/Kind of,,,No,,No,,No,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,"Computer Science, Human Computer Interaction",Computer Science,Diploma,Germany,Germany,UK,,Germany,Austria,,Germany,No,No,No,Yes,No,No,No,,>40,No,No,Yes,No,No,Yes,Yes,Yes,No,No,Yes,Yes,Yes,No,No,No,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,>40,,,Yes/Kind of,,,Yes/Kind of,Yes/Kind of,Yes/Kind of,,,Yes/Kind of,Yes/Kind of,Yes/Kind of,,,,Yes/Kind of,,Yes/Kind of,,,,,,,,,,Using a double name in science is demanding in Germany,naming_problem/not_only_female,Using different names in science than in my private life.,workaround,,,,,,,,,"Well, the idea that there is equality is not true, specifically when it comes to a career.  At all levels of my career there were obstacles for me as a women in science. When I was studying there was still the prejudice about a women studying in computer science, that they might not be capable, that a computer scientist cannot be pretty and clever, ... In my studies it was clearly mentioned by male students that they would never accept a women as a boss (1989). This might have changed but is was the mindset of that time. In all levels of my career I was the only women. When I had success it was then sometimes mentioned that it was because I was a women. Womens' topics and talking about equality was for decades something that women - such as me - were fighting for - it took until around 2020 when more men were stepping in and understanding equality as a responsibility for all genders. I have lost 20% of my intellectual potential and time because I was a women, because I had to show more to get the same positions, because I had to spend time in committee meetings when others made their careers, because I was not in the right boys networks, ... That is a loss not only for me but also a loss for a society as this did not happen to me but to many women. ",Prejudice ,"Never give up, connect in women networks, reveal the inequality in all places and situations I see it, mentor young women, give women a voice, make institutions change and implement gender equality plans. ... keep moving forward.  ",Strengthen_self-esteem/help_by_others,"For too many years I felt it was alway me mentioning to respect and be aware of inequality. For a decade I mentioned it in so many meeting, that it is not only Mitarbeiter but also Mitarbeiterin, that it is not man month but person months and so on.  Women were responsible for gender quality. Women who were acting to make change got a negative image as ""Emanze"" (feminist). The universities took and my institute took a long time to finally implement better rules for gender quality. Only in 2021 we see some gender equality plan  now on the university level, on the level of European Projects and so on. But is was a very long and low process. ",No_reason_mentioned ,"Sticking to it, meeting and exchanging with other women, building networks of women. Promoting young women and giving them the support I never had. ",Help_by_others,"As I was often the only one, the rules on the table were that of men. But at the same time when I behave - as aggressively - as them i was the ""bitch"", I was difficult, I  was having ""hair on teeth"".  One not only had to work on one's own career but also had to navigate this with competing men who played not always fair. ",Politics,"Coaching, Courses, Networking. That has helped a lot. ",Help_by_others,,,,,,,,,,,,,"It is a subtile process. Men know men, they cite men, the propose men for awards, they chose men for their team, the mentor men, they write better letters of recommendations for men. So the appreciation is constantly given more to men and than to women.  ",visibility,"When I was studying I thought it is all about competence. Only after time I found out about the other factors of networking and so on. 
As a doctoral student I did not have the problem so much as I was quite successful.
In the years as professor it was more difficult as I was now competing for resources, H-Index, Grants and so on. It took my years to get a standing there. 
But there were also  two male mentors who helped. ",Help_by_others,,,,,Often,No_reason_mentioned,"Observing it, trying to understand the game, be prepared and taking opportunities next time, next meeting .... ",Strengthen_self_esteem,,,,
11,Robotics,Computer Science,Master,Germany,Germany,Scotland,Spain,Germany,,,Germany,No,Yes,No,No,No,No,No,,20-25,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,20-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,Informatics,Computer Science,PhD,Germany,Germany,,,Germany,Luxemburg ,USA,Germany,No,No,No,No,Yes,No,No,Lecturer,30-40,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,Yes,Yes,30-40,,,,,,,No,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,Computer Sciences - Human Computer Interaction,Computer Science,PhD,Germany,Germany,Hungary,,Netherlands,US,,Germany,No,No,Yes,No,No,No,No,,>40,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,Yes,Yes,>40,,,,,,,Yes/Kind of,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,Computer Science,Computer Science,Master,Germany,Germany,Sweden,,Germany,,,Germany,No,Yes,No,No,No,No,No,,26-30,No,No,No,No,No,No,Yes,Yes,No,No,No,Yes,No,No,No,No,No,No,No,No,No,Yes,Yes,No,Yes,Yes,20-30,,,,,,,No,No,No,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No answer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,Computer Science,Computer Science,Master,Thailand,Germany,,,Germany,,,Germany,No,Yes,No,No,Yes,No,No,,30-40,No,No,No,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No,No,No,No,Yes,No,Yes,Yes,Yes,Yes,No,No,30-40,,,,,No,No,No,No,Yes/Kind of,,No,No,Yes/Kind of,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,Computer Science,Computer Science,Master,Germany,Germany,USA,,Germany,,,Germany,No,Yes,No,No,No,No,No,,26-30,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,Yes,Yes,20-30,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,Computer Hardware,Computer Science,Master,Iran,Iran,Germany,,Netherlands,Germany,,Germany,No,Yes,No,No,No,No,No,,26-30,No,No,No,No,No,No,Yes,No,No,No,Yes,Yes,No,No,No,Yes,Yes,No,No,No,No,Yes,Yes,Yes,No,Yes,20-30,,,,,,,Yes/Kind of,,No,,Yes/Kind of,No,,,,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,Computer Science,Computer Science,Master,Germany,Germany,Norway,Sweden,Germany,Switzerland,Sweden,Sweden,No,Yes,No,No,No,No,No,,26-30,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,20-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
