id,scientific_field,science_field_label,degree,birth_country,study_country,study_country2,study_country3,work_country,work_country2,work_country3,current_country,student,doctoral_student,postdoc,professor,scientific_researcher,industrial_researcher,no_research,other_work,age,cultural_religion_problem,cultural_clothing_problem,cultural_namechanging_problem,cultural_infrastructure_problem,cultural_others_problem,personal_hormones_problem,personal_lifeplan_problem,personal_responsibilities_problem,personal_pregnancy_problem,personal_others_problem,work_equality_problem,work_unsupported_problem,work_collaborations_problem,work_infrastructure_problem,work_others_problem,technical_ideasharing_problem,technical_appreciation_problem,technical_publications_problem,technical_researcher_problem,technical_others_problem,cultural_any_problem,personal_any_problem,work_any_problem,technical_any_problem,birth_country_germany,birth_country_differs_from_work_or_study,age_regroup,cultural_religion_solved,cultural_clothing_solved,cultural_namechanging_solved,cultural_infrastructure_solved,cultural_others_solved,personal_hormones_solved,personal_lifeplan_solved,personal_responsibilities_solved,personal_pregnancy_solved,personal_others_solved,work_equality_solved,work_unsupported_solved,work_collaborations_solved,work_infrastructure_solved,work_others_solved,technical_ideasharing_solved,technical_appreciation_solved,technical_publications_solved,technical_researcher_solved,technical_others_solved,cultural_religion_description,cultural_religion_description_label,cultural_religion_solution_description,cultural_religion_solution_description_label,cultural_clothing_description,cultural_clothing_description_label,cultural_clothing_solution_description,cultural_clothing_solution_label,cultural_namechanging_description,cultural_namechanging_description_label,cultural_namechanging_solution_description,cultural_namechanging_solution_description_label,cultural_infrastructure_description,cultural_infrastructure_description_label,cultural_infrastructure_solution_description,cultural_infrastructure_solution_description_label,cultural_others_description,cultural_others_description_label,cultural_others_solution_description,cultural_others_solution_description_label,work_equality,label,work_equality_solution,label_1,work_unsupported,label_2,work_unsupported_solution,label_3,work_collaborations,label_4,work_collaborations_solution,label_5,work_infrastructure,label_6,work_infrastructure_solution,label_7,work_others,label_8,work_others_solution,label_9,technical_ideasharing,label_technical,technical_ideasharing_solution,label_1_technical,technical_appreciation,label_2_technical,technical_appreciation_solution,label_3_technical,technical_publications,label_4_technical,technical_publications_solution,label_5_technical,technical_researcher,label_6_technical,technical_researcher_solution,label_7_technical,technical_others,label_8_technical,technical_others_solution,label_9_technical
23,Science Management,,PhD,Germany,Germany,,,Germany,,,Germany,No,No,Yes,No,No,No,No,Sciene Manager,30-40,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,Yes,Yes,Yes,30-40,,,,,,,,,,,,,,,,,,Yes/Kind of,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,Medical Sociology,,PhD,Germany,USA,,,Germany,USA,,Germany,No,No,No,No,Yes,No,No,,>40,No,No,No,No,No,No,Yes,Yes,No,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,>40,,,,,,,No,,,,No,No,No,No,,No,No,No,No,,,,,,,,,,,,,,,,,,,,,,"To be exact, after my return to Germany. I gave a long answer before.",family_planning/undermining,,,"Wheras men are supportet and invited, for example to publish with the boss and getting great recommendation letters for applying to professorships my female colleagues and I are doing the ground work, teaching for example but that doesn' count it is expected of women that they pick up the slack that some men don't like to do. The old buddy network is well alive and younger cohorts of male scientists are socialized into the old paradigm. ","Politics, men_promote_men ",,,Irefered to it in my comment before.,"Politics, men_promote_men ",,,Women still don't ask enough and are constantly afraid that someone could be angry with them or not liking them because that's what they learned and what men still expect of women. I don't follow those ruels and because I make known what I can and what I want I get the label of being aggressive. I don't really care I am old enough to handle it and I have enough experience but my younger colleagues don't. I also see the issues of men though. They don't ask for family leave or only the two months because it's still not acknowledge that many times a child has two parents. ,Self_confidence/Parenting,,,,,,,I described these issues before.,Self_confidence/Parenting,,,See before,Self_confidence/Parenting,,,"Oh yes, and it's even worth with grant applications. Grant applications are written by the colleagues but on the cover sheet are only mentioned the names of the PIs who already have a professorship. I really hate that doing the work but getting no credit for it!!! At my institution it is an unwritten rule that regardless of input and work at an article the directors always mentioned at last. It just sucks and as long as the BMBF or DFG don't change the rules regarding cover sheets on grant applications and more stern regrding authorship nothing will change.",Not_only_female,,,"Constantly, also explained in more detail before.",Not_only_female,,,,,,
28,Biology,,Master,Germany,Germany,,,Germany,,,Germany,No,Yes,No,No,No,No,No,,26-30,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,20-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,Life Science,,PhD,Germany,Germany,,,Germany,,,Germany,No,No,Yes,No,No,No,No,,30-40,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,Yes,No,No,No,No,No,Yes,Yes,Yes,Yes,30-40,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No answer,,,,,,,,,,,,,,,
31,"Immunology, Life Science",,PhD,Germany,Germany,,,Germany,,,Germany,No,No,No,Yes,No,No,No,,>40,No,No,No,No,Yes,No,No,Yes,Yes,No,Yes,Yes,No,No,No,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,>40,,,,,Yes/Kind of,,,No,No,,No,No,,,,,No,Yes/Kind of,Yes/Kind of,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,Mathematics,,Master,Germany,Germany,,,Germany,,,Germany,No,Yes,No,No,No,No,No,,30-40,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,Yes,Yes,30-40,,,,,,,Yes/Kind of,Yes/Kind of,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,"Sociology, Social Sciences",,Master,Germany,Germany,,,Germany,,,Germany,No,No,No,No,Yes,No,No,,30-40,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,30-40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,Neuroscience,,PhD,Germany,Germany,,,Germany,,,Germany,No,No,No,No,Yes,No,No,,>40,No,No,No,No,No,No,Yes,No,No,No,Yes,No,No,No,No,No,Yes,No,Yes,No,No,Yes,Yes,Yes,Yes,Yes,>40,,,,,,,No,,,,No,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,No answer,,,,,,,,,,,,,,,,,,,,,,,,No answer,,,,,,,,No answer,,,,,,,
36,interdisciplinary linguistics and cognition,,PhD,eastern part of the EU (not in Germany),Germany,Great Britain,Netherlands,Germany,Netherlands,Spain,Germany,No,No,No,Yes,No,No,No,Juniorprofessor,>40,No,No,No,No,No,No,Yes,Yes,No,No,Yes,Yes,Yes,Yes,No,No,Yes,No,Yes,No,No,Yes,Yes,Yes,No,No,>40,,,,,,,No,No,,,No,No,No,No,,,No,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,Peace and Conflict Studies,,Master,Germany,Germany,Denmark,Indonesia,Germany,,,Germany,No,Yes,No,No,No,No,No,,26-30,No,No,No,No,No,Yes,Yes,No,No,Yes,No,No,Yes,Yes,No,No,Yes,No,No,Yes,No,Yes,Yes,Yes,Yes,Yes,20-30,,,,,,Yes/Kind of,No,,No,No,,,No,,,,No,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Being talked over and ignored, having less published output because male colleagues tend to care less about how good their output is",Undermining,,,No answer,,,,,,,,,,,,"more visible, get invited to debates etc.",visibility,,,,,,,,,,,"Most male colleagues are so much better at asking for stuff, being loud and getting heard",Self_confidence,,
