id;cultural_religion;label;cultural_religion_solution;label_1;cultural_clothing;label_2;cultural_clothing_solution;label_3;cultural_namechanging;label_4;cultural_namechanging_solution;label_5;cultural_infrastructure;label_6;cultural_infrastructure_solution;label_7;cultural_others;label_8;cultural_others_solution;label_9
10;nan;;nan;;nan;;nan;;Using a double name in science is demanding in Germany;naming_problem/not_only_female;Using different names in science than in my private life.;workaround;nan;;nan;;nan;;nan;
12;nan;;nan;;nan;;nan;;nan;;nan;;nan;;nan;;nan;;nan;
14;nan;;nan;;nan;;nan;;nan;;nan;;nan;;nan;;nan;;nan;
17;nan;;nan;;nan;;nan;;nan;;nan;;nan;;nan;;nan;;nan;
20;nan;;nan;;nan;;nan;;nan;;nan;;nan;;nan;;nan;;nan;
22;nan;;nan;;nan;;nan;;nan;;nan;;nan;;nan;;Different perspective on working women between south and north parts of Germany.;not_connected;nan;
25;nan;;nan;;nan;;nan;;nan;;nan;;nan;;nan;;nan;;nan;
29;nan;;nan;;nan;;nan;;nan;;nan;;nan;;nan;;nan;;nan;
32;nan;;nan;;nan;;nan;;nan;;nan;;nan;;nan;;nan;;nan;
35;nan;;nan;;nan;;nan;;nan;;nan;;nan;;nan;;nan;;nan;
38;nan;;nan;;nan;;nan;;nan;;nan;;nan;;nan;;nan;;nan;
42;nan;;nan;;nan;;nan;;nan;;nan;;nan;;nan;;nan;;nan;
45;nan;;nan;;nan;;nan;;nan;;nan;;No answer;;nan;;No answer;;nan;
49;nan;;nan;;nan;;nan;;nan;;nan;;nan;;nan;;nan;;nan;
51;No answer;;nan;;No answer;;nan;;nan;;nan;;nan;;nan;;nan;;nan;
54;nan;;nan;;nan;;nan;;nan;;nan;;nan;;nan;;"1. Missing supervision,
2. Missing interculturality, internationality,
3. Missing exchange in the group, discipline and world wide";not_only_female/supervision/no_collaboration;"1. Not really - asking advanced researcher
2. Participating in events outside my group
3. Finding other platforms of exchange";/no_solution/workaround/workaround
57;nan;;nan;;nan;;nan;;nan;;nan;;nan;;nan;;nan;;nan;
60;nan;;nan;;nan;;nan;;nan;;nan;;nan;;nan;;No answer;;nan;
62;no hijab allowd;cultural_clothing/limited_religious_freedom;nan;;hijab;cultural_clothing;nan;;nan;;nan;;nan;;nan;;"i have a child and companies afraid of me if i would have my second one.
no Companies accept me if i am pregnit
i can not work in shift work because of my family
i have no experience in working
the companies want someone speaking German fluently
";inequality_in_hiring/work_conditions/parenting;nan;
66;nan;;nan;;nan;;nan;;nan;;nan;;nan;;nan;;"Safety at ways to work or from work, safety at conference ways to the hotel.
Different types of communication between me and my (almost all) male peers.
";no_safety/male_communication;"On business trips, I found nice colleagues to walk me to the hotel. At the university, I found a colleague who also preferred to not walk alone to the parking area at night after work. As a professor, I made the rule that women are always allowed to take a taxi at night and book the conference hotel.
There is an excellent course on communication differences by Peter Modler.";workaround/solution/help_others
69;nan;;nan;;nan;;nan;;nan;;nan;;nan;;nan;;nan;;nan;
71;nan;;nan;;nan;;nan;;No answer;;nan;;nan;;nan;;bearing and caring for my children;parenting;nan;
73;nan;;nan;;nan;;nan;;nan;;nan;;nan;;nan;;nan;;nan;
76;nan;;nan;;nan;;nan;;nan;;nan;;nan;;nan;;nan;;nan;
78;nan;;nan;;nan;;nan;;nan;;nan;;nan;;nan;;nan;;nan;
80;nan;;nan;;nan;;nan;;nan;;nan;;nan;;nan;;nan;;nan;
84;nan;;nan;;nan;;nan;;nan;;nan;;nan;;nan;;nan;;nan;
87;nan;;nan;;nan;;nan;;nan;;nan;;nan;;nan;;nan;;nan;
89;nan;;nan;;nan;;nan;;nan;;nan;;nan;;nan;;nan;;nan;
92;nan;;nan;;nan;;nan;;nan;;nan;;nan;;nan;;None,  I did not face any cultural problems;;nan;
95;nan;;nan;;nan;;nan;;nan;;nan;;nan;;nan;;nan;;nan;
97;nan;;nan;;nan;;nan;;nan;;nan;;nan;;nan;;nan;;nan;
103;nan;;nan;;nan;;nan;;nan;;nan;;nan;;nan;;nan;;nan;
107;nan;;nan;;nan;;nan;;nan;;nan;;nan;;nan;;nan;;nan;
109;nan;;nan;;"Clothing conventions make you feel comfortable in a group. Coming from a girl's school, it took me some time to realizem, that clothing did not matter at all in my physics studies. Nor in negative nor in positive ways: self-tailored nice garment was not even noticed. After short disappointment I learnt to appreciate that freedom. Switching to engineering changed the situation entirely: suddenly formal clothes were required at least during exams. The first fees as a young scientists I spent on buying white blouses. The first years at congresses and business meetings, the male attendees seemed to dress quite uniformly. As one of the few women at these events I searched for role models ""what to wear"". Most of the few female material scientists did not wear typical business attire, but practical and very individual stiles. That enouraged me to dress in my own colors, in my own preferred stile: My difficulties were self-made. Being one of the few women made me free of conventions.";conventions;see above: Decision not to follow conventions;strengthen_self_esteem;nan;;nan;;Some equipment in labs is not designed for short people;not_suitable_equipment;Ask for help, buy a footstool, assemble a diverse group of people;workaround;nan;;nan;
113;nan;;nan;;nan;;nan;;nan;;nan;;nan;;nan;;nan;;nan;
115;nan;;nan;;nan;;nan;;nan;;nan;;nan;;nan;;nan;;nan;
119;nan;;nan;;nan;;nan;;nan;;nan;;nan;;nan;;nan;;nan;
121;nan;;nan;;nan;;nan;;nan;;nan;;nan;;nan;;nan;;nan;
126;nan;;nan;;nan;;nan;;nan;;nan;;nan;;nan;;To understand the sctandard and tradition of how to research in Germany. It is quite a challange how to be able to communicate with German collagues and prof. appropriately since there are so many cultural differences. E.g.: My Prof. think thy when I write an email,... I  did not go directly to the point. Meanwhile, in my culture, it is  unpolite to be so direct.;not_only_female;I explain the cultural dimension in my country, we discuss and I try to follow  the German culture and be direct. Menahwile, my prof also try to understand  the way I comunicate and structure my thought within the framework of my cultural background.;workaround 
130;nan;;nan;;nan;;nan;;nan;;nan;;nan;;nan;;nan;;nan;
133;nan;;nan;;No answer;;Ignore the environment ;no_solution;nan;;nan;;nan;;nan;;nan;;nan;
135;nan;;nan;;nan;;nan;;nan;;nan;;nan;;nan;;nan;;nan;
139;nan;;nan;;nan;;nan;;nan;;nan;;nan;;nan;;nan;;nan;
141;nan;;nan;;No answer;;nan;;nan;;nan;;No answer;;nan;;nan;;nan;
145;nan;;nan;;It is a kind of informal norm to wear trouser and pant. No one in my company ever wear their traditional cloth not even one day. ;cultural_clothing;nan;;I have no surname. I always have difficulty to explain this. Single name is not enough to identify a person in Germany. ;not_only_female/naming_problem;nan;;nan;;nan;;nan;;nan;
148;nan;;nan;;nan;;nan;;nan;;nan;;nan;;nan;;nan;;nan;
151;nan;;nan;;nan;;nan;;nan;;nan;;nan;;nan;;nan;;nan;
