id,personal_hormones,label,personal_hormones_solution,label,personal_lifeplan,label,personal_lifeplan_solution,label,personal_responsibilities,label,personal_responsibilities_solution,label,personal_pregnancy,label,personal_pregnancy_solution,label,personal_others,label,personal_others_solution,label,
10,"Well menopause means that your hormones partly play crazy - but this is negatively seen in the public.  The same happens with the different hormone phase in pregnancy that influenced meetings. I can remember once when I was pregnant the first time when others gave me a kind of negative feedback about a meeting in which i ""overreacted"". ",PMS,Well I was already in a fixed position so had nothing to fear. If it impacted any of my cooperations - I do not know. In some stages I wished I would have been more stable when it came to tough decisions and I had to fight for career options - then a hormone cycle can kind of play against you. ,no_solution,I had my children only after tenure. This was risky as it was later in life and might have not happened. Also having children late means that in some carrier steps you have to combine / share life and taking care of children in later career stages. This is demanding when both parents are working. ,parenting/family_planning/childcare,"Lot of effort in organizing professional child care to be able to be a caring parent but also continue my professional career and share the parenting with my partner. That was a very demanding time and was also very expensive when the children were small. We are lucky to have a ""nanny"" for more than 10 years and also were financially set to be able to finance child care. ",no_solution,"Evening meetings, conference trips and so one needed a lot of organization as my partner was also working and also traveling.",parenting,"A good child care infrastructure, combination of professional care, baby sitters and sometime the grand parents. It was a heavy load organizing all of this. ",good_daycare,nan,,nan,,nan,,nan,,
12,nan,,nan,,"Limited contract lengths (serialization of short term contracts) make life planning difficult-> unreliable income.In addition, the Limit of employment in general, I.e.  6 years before PhD and 6 years after PhD make a career in academia unattractive for Someone not pursuing a professor position. As a woman pursuing a professor position and family planning involves the need of a lot of flexibility and support from spouse, grandparents, ...",family_planning/childcare,nan,,"More responsibilities in parenting resulted in reduced working hours which meant for me not being able to do both teaching and research, which means career stagnation.",parenting,nan,,nan,,nan,,nan,,nan,,
14,nan,,nan,,No answer,,nan,,No answer,,nan,,nan,,nan,,nan,,nan,,
17,sick days or decreased focus due to period,PMS,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,
20,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,
22,nan,,nan,,"Distance relationship which leads to difficult family planning and finally to divorce. Pregnancy was regarded like an illness by male and female colleagues and was called: end of the scientific career. No chance to participate on late scheduled meetings, as I raise my two kids alone, and thus no integration into research projects or University politics, which would require ""Beer-drinking-connections"". Being treated like an alien, when I had to leave meetings due to the fact that a kid became ill... Seldom the possibility to travel to conferences, as I always had to carry a person who is taking care of the kids with me - and for this, most of the time there was not enough money. Finally, no private life between University and Kids... especially during Corona Crisis.",family_planning/childcare/male_communication,nan,,Raining two kids alone is all that has to be said.,parenting,nan,,"After I announced my pregnancy to my boss, SHE (!!!) told me that this is the end of my career. And, my hypothesis is, that I was shifted to another place of the list for a professorship due to pregnancy (8s months and really not hideable). During pregnancy: trying hard to be visible and busy in conferences and University life, but it was really hard. I would not do it again that way.",pregnancy/conflict_ability_across_women,nan,,nan,,nan,,
25,nan,,nan,,"Wheras in the US the option after my studies were clear with a career path: assistant professor - tenure - associate professor, this doesn't exist the same way in Germany. Most horrible is the hierarchy at German universities and that the experience of women women somehow doesn't count. In Germany workshops at conferences are held and five men discuss on stage the ""problems of women"" in science, how can that be? I am working with six young women in my team who are constantly confronted with the issue of when is the right time for motherhood? To be honest there is actually no right time for motherhood when persuing a career in science. And the data speaks for itself, men and women are following a similar path until the end of their doctorate and then men proceed onto becoming professors and women don't know how to combine motherhood and a career in science. Of all professorships in Germany only 29 percent are held by women that speaks for itself. I am coordinating a research cluster with a total of 50 projects (yes no tipo you can imagine my workload) and not even a quarter of the PIs are women. In contrast to that women at the Master or doctoral candidate level outnumber men. The director of the instute I am working at likes to devide Post-Doc positions. It means that he hires two Post-Docs at 50 percent but expects that both will work 80 to 100 percent and that's not possible with children. All of the young women in my team have decided to leave science after the project ends next year because of the frustrations and not being able to find a permanent position. As long as the dependence in science stays that way nothing will change for the better.",family_planning/undermining,nan,,No answer,,nan,,nan,,nan,,nan,,nan,,
29,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,
32,nan,,nan,,Family planning is complicated as there is so little job security. Taking parental leave might also be not that good for one's scientific career.,family_planning ,We decided to just try and start a family and see what happens. But there could be a lot better circumstances.,no_solution,"I can't move all the time because of my family, so at the moment (not during Corona, but before), I'm commuting to my university (more than 300 km).",parenting,"It kind of works out, but is exhausting.",no_solution,nan,,nan,,nan,,nan,,
35,nan,,nan,,moving is required,not_only_female,nan,,nan,,nan,,nan,,nan,,nan,,nan,,
