id;technical_ideasharing;label;technical_ideasharing_solution;label_1;technical_appreciation;label_2;technical_appreciation_solution;label_3;technical_publications;label_4;technical_publications_solution;label_5;technical_researcher;label_6;technical_researcher_solution;label_7;technical_others;label_8;technical_others_solution;label_9
10;nan;;nan;;It is a subtile process. Men know men, they cite men, the propose men for awards, they chose men for their team, the mentor men, they write better letters of recommendations for men. So the appreciation is constantly given more to men and than to women.  ;visibility;"When I was studying I thought it is all about competence. Only after time I found out about the other factors of networking and so on. 
As a doctoral student I did not have the problem so much as I was quite successful.
In the years as professor it was more difficult as I was now competing for resources, H-Index, Grants and so on. It took my years to get a standing there. 
But there were also  two male mentors who helped. ";Help_by_others;nan;;nan;;Often;No_reason_mentioned;Observing it, trying to understand the game, be prepared and taking opportunities next time, next meeting .... ;Strengthen_self_esteem;nan;;nan;
12;nan;;nan;;nan;;nan;;nan;;nan;;nan;;nan;;nan;;nan;
14;nan;;nan;;nan;;nan;;nan;;nan;;nan;;nan;;nan;;nan;
17;nan;;nan;;nan;;nan;;nan;;nan;;nan;;nan;;nan;;nan;
20;nan;;nan;;nan;;nan;;nan;;nan;;nan;;nan;;nan;;nan;
22;nan;;nan;;no additional comments - the yes said all.;No_reason;nan;;nan;;nan;;sure. Who has not? And moreover, there are only very few networking women. However, almost all successful men are networking. In contrast: females who have gained a position are often eager to bite other woman away. Sad but true.;conflict_ability_across_women;nan;;nan;;nan;
25;I described these issues before.;Self_confidence/Parenting;nan;;See before;Self_confidence/Parenting;nan;;Oh yes, and it's even worth with grant applications. Grant applications are written by the colleagues but on the cover sheet are only mentioned the names of the PIs who already have a professorship. I really hate that doing the work but getting no credit for it!!! At my institution it is an unwritten rule that regardless of input and work at an article the directors always mentioned at last. It just sucks and as long as the BMBF or DFG don't change the rules regarding cover sheets on grant applications and more stern regrding authorship nothing will change.;Not_only_female;nan;;Constantly, also explained in more detail before.;Not_only_female;nan;;nan;;nan;
29;nan;;nan;;No answer;;nan;;nan;;nan;;nan;;nan;;nan;;nan;
32;nan;;nan;;nan;;nan;;nan;;nan;;nan;;nan;;nan;;nan;
35;nan;;nan;;No answer;;nan;;nan;;nan;;No answer;;nan;;nan;;nan;
38;nan;;nan;;nan;;nan;;nan;;nan;;nan;;nan;;No answer;;nan;
42;nan;;nan;;more visible, get invited to debates etc.;visibility;nan;;nan;;nan;;nan;;nan;;Most male colleagues are so much better at asking for stuff, being loud and getting heard;Self_confidence;nan;
45;No answer;;nan;;No answer;;nan;;No answer;;nan;;No answer;;nan;;nan;;nan;
49;No answer;;nan;;nan;;nan;;No answer;;Private meetings to discuss problems with boss;Help_by_others;No answer;;nan;;nan;;nan;
51;nan;;nan;;nan;;nan;;nan;;nan;;nan;;nan;;nan;;nan;
54;nan;;nan;;nan;;nan;;nan;;nan;;nan;;nan;;nan;;nan;
57;nan;;nan;;nan;;nan;;nan;;nan;;nan;;nan;;nan;;nan;
60;No answer;;nan;;No answer;;nan;;nan;;nan;;No answer;;nan;;nan;;nan;
62;many conferences where i can share my ideasare not allowd for me ;Restricted_access;nan;;nan;;nan;;nan;;nan;;nan;;nan;;nan;;nan;
66;nan;;nan;;Yes, always.;No_reason;nan;;nan;;nan;;Yes, it decreased though in the last years.;No_reason_mentioned;nan;;nan;;nan;
69;nan;;nan;;nan;;nan;;nan;;nan;;nan;;nan;;nan;;nan;
71;nan;;nan;;No answer;;nan;;No answer;;I had to wait 4 years to publish my work.  - but i did in the end, because i did not give up.;Sit_out;No answer;;nan;;nan;;nan;
73;nan;;nan;;No answer;;nan;;No answer;;nan;;No answer;;nan;;nan;;nan;
76;nan;;nan;;nan;;nan;;nan;;nan;;nan;;nan;;nan;;nan;
78;nan;;nan;;"Some male researchers I met are just more confident in ""selling"" their work and thus get more appreciation, whereas I recognized in myself (but also some other female researchers) we are more critical about our own work. ";Self_confidence;"I don't get ""bedazzled"" by some bragging anymore and try to be more appreciative of my successes and my hard work . ";Strengthen_self-esteem;nan;;nan;;nan;;nan;;nan;;nan;
80;nan;;nan;;nan;;nan;;nan;;nan;;nan;;nan;;nan;;nan;
84;nan;;nan;;nan;;nan;;Yes, many times. I think every researcher does so.;Not_only_female;nan;;nan;;nan;;nan;;nan;
87;nan;;nan;;nan;;nan;;No answer;;nan;;nan;;nan;;nan;;nan;
89;nan;;nan;;nan;;nan;;nan;;nan;;No concrete situation. Just sometimes had the impression that results or presentations by female researchers were questioned more strongly than that of male researchers.;Expertise_perception;Trying to paint too much attention to it;Sit_out;nan;;nan;
92;This is dependent to th sturcture of my PhD. A (male) colleaque at my institute has the same problem.;Not_only_female;nan;;nan;;nan;;nan;;nan;;nan;;nan;;nan;;nan;
95;nan;;nan;;nan;;nan;;nan;;nan;;nan;;nan;;nan;;nan;
97;nan;;nan;;nan;;nan;;nan;;nan;;nan;;nan;;nan;;nan;
103;nan;;nan;;No answer;;nan;;nan;;nan;;No answer;;nan;;nan;;nan;
107;nan;;nan;;nan;;nan;;nan;;nan;;nan;;nan;;nan;;nan;
109;nan;;nan;;nan;;nan;;nan;;nan;;nan;;nan;;Womens achievements are not visible if only initials are qouted;Not_only_female;Giving whole names, wherever it is possible. In public talks, I emphasize womens achievements as examples for successful results.;Work_around/Be_role_model
113;nan;;nan;;nan;;nan;;nan;;nan;;nan;;nan;;nan;;nan;
