id;work_equality;label;work_equality_solution;label_1;work_unsupported;label_2;work_unsupported_solution;label_3;work_collaborations;label_4;work_collaborations_solution;label_5;work_infrastructure;label_6;work_infrastructure_solution;label_7;work_others;label_8;work_others_solution;label_9
10;Well, the idea that there is equality is not true, specifically when it comes to a career.  At all levels of my career there were obstacles for me as a women in science. When I was studying there was still the prejudice about a women studying in computer science, that they might not be capable, that a computer scientist cannot be pretty and clever, ... In my studies it was clearly mentioned by male students that they would never accept a women as a boss (1989). This might have changed but is was the mindset of that time. In all levels of my career I was the only women. When I had success it was then sometimes mentioned that it was because I was a women. Womens' topics and talking about equality was for decades something that women - such as me - were fighting for - it took until around 2020 when more men were stepping in and understanding equality as a responsibility for all genders. I have lost 20% of my intellectual potential and time because I was a women, because I had to show more to get the same positions, because I had to spend time in committee meetings when others made their careers, because I was not in the right boys networks, ... That is a loss not only for me but also a loss for a society as this did not happen to me but to many women. ;Prejudice ;Never give up, connect in women networks, reveal the inequality in all places and situations I see it, mentor young women, give women a voice, make institutions change and implement gender equality plans. ... keep moving forward.  ;Strengthen_self-esteem/help_by_others;"For too many years I felt it was alway me mentioning to respect and be aware of inequality. For a decade I mentioned it in so many meeting, that it is not only Mitarbeiter but also Mitarbeiterin, that it is not man month but person months and so on.  Women were responsible for gender quality. Women who were acting to make change got a negative image as ""Emanze"" (feminist). The universities took and my institute took a long time to finally implement better rules for gender quality. Only in 2021 we see some gender equality plan  now on the university level, on the level of European Projects and so on. But is was a very long and low process. ";No_reason_mentioned ;Sticking to it, meeting and exchanging with other women, building networks of women. Promoting young women and giving them the support I never had. ;Help_by_others;"As I was often the only one, the rules on the table were that of men. But at the same time when I behave - as aggressively - as them i was the ""bitch"", I was difficult, I  was having ""hair on teeth"".  One not only had to work on one's own career but also had to navigate this with competing men who played not always fair. ";Politics;Coaching, Courses, Networking. That has helped a lot. ;Help_by_others;nan;;nan;;nan;;nan;
12;nan;;nan;;nan;;nan;;nan;;nan;;nan;;nan;;nan;;nan;
14;nan;;nan;;No answer;;nan;;nan;;nan;;nan;;nan;;nan;;nan;
17;nan;;nan;;nan;;nan;;nan;;nan;;nan;;nan;;nan;;nan;
20;nan;;nan;;nan;;nan;;nan;;nan;;nan;;nan;;nan;;nan;
22;Why, you are never equal! E.g. no chances to get a W3 position. No chances to get positions in University politics, as long as an old man is available for the same job. etc. There is no equality at University.;Politics;nan;;During my time of qualification, there was no support for equality. ;NO-Support-for-Equality-Projects;nan;;Often ignored, best be loud and present. Another working way would be: forget to be the idea giver. Introduce your ideas to the leading men at the place and let them sell them as their own. At least then you can start to work constructively. ;Undermining;nan;;nan;;nan;;nan;;nan;
25;To be exact, after my return to Germany. I gave a long answer before.;family_planning/undermining;nan;;Wheras men are supportet and invited, for example to publish with the boss and getting great recommendation letters for applying to professorships my female colleagues and I are doing the ground work, teaching for example but that doesn' count it is expected of women that they pick up the slack that some men don't like to do. The old buddy network is well alive and younger cohorts of male scientists are socialized into the old paradigm. ;Politics, men_promote_men ;nan;;Irefered to it in my comment before.;Politics, men_promote_men ;nan;;Women still don't ask enough and are constantly afraid that someone could be angry with them or not liking them because that's what they learned and what men still expect of women. I don't follow those ruels and because I make known what I can and what I want I get the label of being aggressive. I don't really care I am old enough to handle it and I have enough experience but my younger colleagues don't. I also see the issues of men though. They don't ask for family leave or only the two months because it's still not acknowledge that many times a child has two parents. ;Self_confidence/Parenting;nan;;nan;;nan;
29;nan;;nan;;nan;;nan;;nan;;nan;;nan;;nan;;nan;;nan;
32;nan;;nan;;nan;;nan;;nan;;nan;;nan;;nan;;nan;;nan;
35;No answer;;nan;;nan;;nan;;nan;;nan;;nan;;nan;;nan;;nan;
